namelsad_2,POPULATION,POP2010,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,CRMCYPERC,CRMCYMURD,CRMCYRAPE,CRMCYROBB,CRMCYASST,CRMCYPROC,CRMCYBURG,CRMCYLARC,CRMCYMVEH,LAN,Shape_Area
Middlesex County,1041,1112,856,51,3,141,1,76,37,23,568,544,46,27,15,20,142,377,157,129,109,37,35
Middlesex County,359,320,250,18,0,26,0,29,16,10,170,150,17,9,4,6,64,110,51,24,16,7,8
Middlesex County,1964,1771,1704,17,3,29,0,26,4,14,858,913,86,138,161,144,82,136,281,367,222,98,39
Middlesex County,1283,1173,1077,22,0,38,0,49,15,21,505,668,73,50,34,44,47,150,150,150,147,141,125
Middlesex County,1207,1210,948,88,0,63,0,111,77,34,599,611,81,34,32,56,103,260,201,140,128,67,83
Middlesex County,810,769,703,14,5,15,0,43,21,11,396,373,39,36,37,27,47,179,143,110,79,41,15
Middlesex County,592,617,389,46,2,136,0,27,35,9,302,315,31,41,26,30,42,117,110,61,64,45,36
Middlesex County,815,780,503,74,0,181,0,32,12,10,396,384,34,29,41,33,40,177,105,136,100,50,28
Middlesex County,1092,1042,516,94,13,66,0,330,303,50,563,479,67,59,57,63,85,274,184,118,74,35,22
Middlesex County,860,874,731,31,2,84,0,45,5,21,400,474,16,10,12,14,82,250,114,88,153,89,31
Middlesex County,1688,1770,1266,186,5,113,0,194,112,88,913,857,84,69,54,63,213,563,238,192,156,82,39
Middlesex County,314,345,242,44,0,53,0,20,0,6,167,178,9,4,7,7,43,122,54,32,41,17,7
Middlesex County,1309,1310,981,43,2,235,0,45,15,34,597,713,87,73,23,16,45,261,258,186,127,76,105
Middlesex County,581,587,377,66,7,43,0,104,80,14,311,276,30,23,16,13,36,111,70,59,91,73,52
Middlesex County,1982,1993,1916,8,5,27,0,35,7,30,994,999,92,119,179,158,114,186,278,364,252,163,75
Middlesex County,3027,2705,2415,7,1,224,0,46,7,51,1355,1350,130,245,246,232,89,118,417,579,379,183,71
Middlesex County,2419,2333,2057,6,0,242,0,26,5,23,1186,1147,120,193,226,190,88,126,350,514,266,175,64
Middlesex County,1360,1242,1129,21,1,78,1,30,0,12,615,627,72,98,112,88,32,81,206,224,167,100,47
Middlesex County,3495,2967,2826,17,0,91,0,48,11,22,1491,1476,165,293,331,269,110,141,434,644,394,129,47
Middlesex County,1454,1417,1323,25,1,17,0,54,24,27,675,742,79,71,60,64,61,185,175,197,191,141,143
Middlesex County,1702,1598,1545,3,0,35,0,26,0,15,805,793,71,137,152,147,58,72,216,359,265,79,33
Middlesex County,1013,988,597,53,3,103,0,304,192,40,457,531,38,29,29,41,84,217,128,93,83,104,94
Middlesex County,921,936,796,41,2,71,2,44,2,22,471,465,66,66,57,53,44,123,163,161,101,59,35
Middlesex County,1178,1186,1065,3,0,104,0,19,3,11,577,609,58,104,129,80,40,47,130,229,184,114,49
Middlesex County,1178,1145,947,20,0,140,0,30,11,27,578,567,49,104,149,100,32,25,125,258,149,86,54
Middlesex County,1639,1594,1416,38,0,76,0,53,24,40,788,806,104,106,95,90,74,201,225,255,208,112,89
Middlesex County,3086,2767,1254,515,19,27,0,1711,770,182,1258,1509,304,262,256,269,211,469,366,322,170,81,40
Middlesex County,1707,1607,771,132,13,13,12,596,428,238,907,700,140,109,83,107,151,366,289,211,99,32,11
Middlesex County,1208,1137,810,66,7,34,0,210,109,111,552,585,69,71,83,82,55,178,165,198,113,48,48
Middlesex County,1221,1208,624,73,8,16,1,328,399,87,679,529,90,70,50,51,98,283,199,180,107,36,29
Middlesex County,1819,1831,1222,128,11,98,0,331,274,98,851,980,132,91,114,115,103,291,254,248,133,89,99
Middlesex County,813,821,720,15,0,63,0,25,9,14,400,421,64,77,54,49,23,63,132,140,79,73,48
Middlesex County,938,926,819,18,1,69,0,14,4,15,429,497,73,65,61,51,35,68,135,160,125,64,62
Middlesex County,1590,1499,1332,42,8,64,0,38,18,35,743,756,88,95,122,96,61,141,209,311,181,102,75
Middlesex County,1071,1056,943,41,0,39,0,31,11,22,493,563,70,69,75,66,36,149,175,195,118,53,36
Middlesex County,1792,1762,1462,44,3,179,1,95,32,41,842,920,119,51,43,56,112,527,265,199,202,93,65
Middlesex County,1343,1410,1131,59,0,126,1,125,49,44,688,722,99,44,44,39,97,338,197,205,172,82,65
Middlesex County,1107,1082,932,29,0,87,0,33,14,20,540,542,47,45,45,46,48,233,160,157,124,79,74
Middlesex County,1288,1271,1102,24,1,75,0,49,17,52,583,688,64,49,24,26,62,286,228,153,184,95,69
Middlesex County,2339,2273,1928,85,1,142,1,150,82,34,1019,1254,158,88,111,88,120,424,319,329,247,169,152
Middlesex County,1642,1765,1429,84,4,154,0,110,43,51,811,954,102,102,123,129,100,219,252,289,202,100,104
Middlesex County,956,967,904,10,2,28,0,34,9,14,452,515,62,44,40,41,46,154,144,182,129,66,45
Middlesex County,747,795,655,26,5,90,0,20,2,17,361,434,47,46,50,47,55,111,99,144,117,50,23
Middlesex County,981,931,801,16,1,82,0,46,22,9,401,530,37,25,39,32,40,195,115,111,120,65,63
Middlesex County,833,872,715,30,0,86,0,30,19,22,424,448,29,54,45,42,53,139,119,150,116,65,39
Middlesex County,1175,1158,927,33,0,131,0,50,28,39,564,594,58,51,58,48,81,279,166,182,123,53,46
Middlesex County,1086,1067,867,30,1,129,0,45,23,17,474,593,63,55,35,40,37,174,175,111,111,103,125
Middlesex County,881,900,729,29,0,108,0,36,9,25,400,500,43,36,50,53,68,183,146,116,84,52,40
Middlesex County,1614,1569,1232,41,1,197,2,137,66,30,742,827,94,84,90,87,97,314,261,223,152,72,55
Middlesex County,2759,2640,2108,80,3,353,0,112,45,51,1228,1412,175,212,174,139,101,321,445,427,338,170,94
Middlesex County,1867,1837,1493,33,1,258,0,56,8,44,887,950,118,141,112,93,64,225,281,300,239,132,91
Middlesex County,2239,2262,1807,80,1,331,0,60,17,26,923,1339,84,94,81,408,480,148,202,213,140,82,130
Middlesex County,1347,1325,1226,6,0,66,3,22,2,22,658,667,66,124,130,110,39,50,175,324,182,87,28
Middlesex County,1200,1275,1152,3,0,84,2,20,8,26,632,643,71,92,160,119,28,45,162,294,185,70,33
Middlesex County,1211,1204,1087,11,0,85,0,15,2,19,591,613,76,147,121,68,28,61,206,213,146,70,56
Middlesex County,1345,1314,1239,18,0,19,0,25,23,15,627,687,91,86,55,58,63,203,216,236,165,77,45
Middlesex County,941,944,901,13,0,7,0,30,6,17,470,474,55,71,57,44,43,130,168,176,119,43,32
Middlesex County,1578,1619,1448,10,0,119,0,30,8,34,812,807,88,121,197,146,31,65,193,406,226,99,30
Middlesex County,1205,1312,1180,24,3,65,0,66,23,17,614,698,110,68,65,64,63,163,209,234,198,77,46
Middlesex County,1159,1064,974,6,0,74,0,15,0,10,545,519,30,71,125,78,25,21,99,201,152,96,112
Middlesex County,800,812,679,5,0,106,0,10,2,20,411,401,28,57,99,59,21,25,71,173,121,98,51
Middlesex County,839,792,680,7,0,85,0,16,0,20,390,402,52,68,86,63,10,28,102,152,100,69,46
Middlesex County,2043,2041,1453,67,4,422,2,124,37,56,914,1127,142,125,109,109,101,244,287,319,283,167,105
Middlesex County,1092,1087,748,56,2,218,0,59,28,35,506,581,67,66,65,70,56,189,165,183,125,44,42
Middlesex County,1566,1519,1153,60,0,258,2,51,13,33,695,824,88,85,75,79,76,222,220,211,193,122,65
Middlesex County,971,945,775,18,1,131,0,24,8,12,455,490,54,57,52,47,40,141,126,135,157,72,43
Middlesex County,1836,1783,1527,40,2,152,2,87,15,45,835,948,105,152,172,105,78,136,235,321,276,115,69
Middlesex County,1572,1466,1223,44,0,156,0,29,14,29,715,751,78,108,118,86,58,115,191,261,266,110,47
Middlesex County,1181,1192,1099,20,1,51,0,21,3,18,559,633,73,91,94,79,26,55,137,217,224,96,71
Middlesex County,1240,1153,911,47,1,176,0,38,3,15,540,613,66,77,75,69,47,101,144,197,191,105,60
Middlesex County,1409,1389,1169,44,0,134,0,47,13,29,702,687,105,116,118,87,51,118,199,226,213,90,54
Middlesex County,1393,1343,1244,17,0,50,0,47,11,21,654,689,95,101,82,94,44,114,205,233,180,103,71
Middlesex County,1334,1260,1153,25,1,52,0,42,7,22,626,634,91,78,82,66,54,165,178,226,170,71,49
Middlesex County,787,763,704,12,5,16,0,33,13,13,345,418,49,47,38,29,32,131,104,145,85,45,33
Middlesex County,2418,2415,2170,40,4,128,1,64,24,48,1195,1220,155,233,185,165,69,146,401,407,404,154,72
Middlesex County,891,909,839,6,0,33,1,23,5,25,437,472,47,64,66,45,23,32,104,170,158,128,56
Middlesex County,2641,2707,1752,204,1,616,0,183,69,65,1311,1396,199,97,76,70,252,950,403,267,230,103,46
Middlesex County,1463,1381,1074,64,6,184,0,74,25,28,670,711,86,51,58,69,72,203,177,238,192,123,80
Middlesex County,1001,989,909,10,4,41,0,35,0,25,473,516,52,54,44,42,50,96,119,136,167,89,99
Middlesex County,1230,1210,925,68,3,76,1,252,90,47,627,583,68,40,35,37,92,343,191,175,106,73,40
Middlesex County,233,223,145,6,1,38,1,23,14,18,106,117,9,5,10,5,30,53,36,37,22,9,4
Middlesex County,1520,1484,1165,48,2,144,0,111,43,82,691,793,67,42,36,31,75,268,186,169,199,196,166
Middlesex County,966,951,863,24,1,26,0,51,16,21,450,501,58,31,42,32,53,195,153,134,130,55,40
Middlesex County,880,845,631,51,1,84,0,82,32,46,404,441,57,62,43,59,61,187,136,107,76,32,20
Middlesex County,643,629,549,7,1,25,0,29,24,23,280,349,30,14,10,13,38,161,92,70,61,51,70
Middlesex County,838,806,682,37,0,44,2,32,9,32,347,459,46,28,17,15,44,197,125,90,113,55,52
Middlesex County,850,903,805,12,1,57,0,17,5,23,400,503,38,32,18,34,52,202,134,127,98,57,54
Middlesex County,607,597,515,14,0,37,0,36,17,14,290,307,36,10,23,24,49,162,108,75,55,24,22
Middlesex County,799,764,673,25,1,32,0,45,14,19,335,429,35,33,36,68,58,135,107,97,79,52,48
Middlesex County,1486,1476,1359,20,1,38,0,55,29,29,709,767,104,110,103,71,70,187,262,261,169,75,43
Middlesex County,2112,1798,1679,20,4,52,1,38,15,27,837,961,103,115,114,91,71,121,222,314,282,194,124
Middlesex County,825,775,682,6,0,70,0,12,5,12,387,388,57,54,64,65,16,52,106,142,121,47,39
Middlesex County,828,842,651,36,0,94,0,44,23,38,382,460,40,45,34,42,57,168,141,121,111,46,26
Middlesex County,1124,1116,957,26,0,93,0,42,11,29,510,606,62,65,61,48,66,148,172,180,193,67,41
Middlesex County,695,725,635,2,1,62,0,14,8,17,345,380,37,59,54,49,11,46,82,122,147,76,32
Middlesex County,1601,1625,1390,26,0,160,2,33,7,40,767,858,87,119,96,96,123,122,185,251,287,157,71
Middlesex County,1013,1027,943,1,1,50,1,29,10,21,499,528,65,75,84,66,36,77,142,157,184,82,40
Middlesex County,981,946,831,10,0,75,0,27,4,26,472,474,45,70,87,63,33,38,101,166,199,78,52
Middlesex County,1205,1237,1095,13,1,103,0,33,4,21,576,661,81,91,90,78,51,68,161,220,202,118,53
Middlesex County,857,849,741,14,0,53,0,42,5,36,408,441,50,66,83,58,25,30,98,150,159,80,33
Middlesex County,952,938,813,5,1,99,0,27,2,18,475,463,68,74,60,50,20,75,127,139,190,85,43
Middlesex County,1621,1681,1400,34,0,204,1,42,4,38,765,916,84,110,135,86,41,127,181,242,233,151,161
Middlesex County,1060,1038,910,21,1,59,0,35,15,32,499,539,47,102,102,61,13,38,128,168,173,98,58
Middlesex County,1326,1239,955,54,1,168,0,85,29,32,584,655,80,91,72,46,47,149,174,200,167,101,81
Middlesex County,814,782,685,8,1,68,0,16,3,17,392,390,52,48,68,45,25,69,107,129,107,59,33
Middlesex County,1058,1032,742,133,2,89,1,93,17,48,580,452,30,17,24,13,121,266,137,124,141,85,60
Middlesex County,2526,2492,2006,153,10,216,0,112,39,68,1035,1457,78,95,89,531,436,85,161,259,265,189,185
Middlesex County,932,923,768,39,5,66,0,37,18,27,417,506,54,49,59,54,27,127,133,157,136,62,40
Middlesex County,768,785,660,30,0,39,0,55,28,28,375,410,34,17,31,36,113,200,115,98,60,39,34
Middlesex County,567,545,494,17,4,20,0,23,3,7,271,274,26,12,15,17,40,135,73,93,76,25,25
Middlesex County,895,872,831,1,1,28,0,10,3,8,419,453,52,72,86,39,26,47,149,203,102,51,33
Middlesex County,894,855,679,19,0,123,0,51,17,17,401,454,35,43,49,38,59,158,111,125,112,60,41
Middlesex County,1152,1080,676,191,0,72,1,152,87,53,535,545,89,62,72,80,61,185,171,149,105,62,31
Middlesex County,641,660,518,38,0,59,0,69,33,12,320,340,43,20,15,26,80,159,101,81,60,46,22
,,,,,,,,,,,,,,,,,,,,,,,
Middlesex County,918,853,804,1,0,35,0,12,6,7,414,439,42,53,73,69,30,32,87,162,164,74,51
Middlesex County,1181,1164,881,37,1,16,7,321,184,38,626,538,91,75,66,82,83,238,206,182,72,35,28
Middlesex County,1823,1785,517,62,9,941,0,286,162,94,892,893,169,128,134,166,166,290,251,245,132,61,31
Middlesex County,1502,1514,1309,35,0,111,2,57,20,37,736,778,110,140,104,82,56,210,271,213,165,87,54
Middlesex County,1098,1084,888,9,1,160,1,33,6,19,547,537,67,88,93,77,29,69,179,191,106,84,54
Middlesex County,1776,1786,1742,4,0,15,0,24,1,24,895,891,86,112,154,157,79,115,259,378,304,88,43
Middlesex County,1517,1589,1542,0,0,13,0,31,6,28,781,808,67,106,151,120,63,108,196,343,245,105,59
Middlesex County,2188,2157,1643,131,0,131,1,368,181,70,1362,795,41,42,27,1138,602,80,38,28,27,36,53
Middlesex County,681,717,241,46,1,242,3,225,128,56,385,332,74,67,44,71,81,118,92,84,55,13,15
Middlesex County,1261,1282,578,66,8,263,0,653,286,81,562,720,94,99,90,110,76,130,134,198,156,117,57
Middlesex County,963,1002,324,64,21,364,0,321,174,55,502,500,85,79,84,96,92,179,134,131,71,29,14
Middlesex County,1486,1561,350,104,4,875,0,280,175,53,828,733,146,109,107,148,151,229,236,236,139,47,8
Middlesex County,1251,1221,439,83,2,544,0,169,111,42,629,592,90,77,69,101,148,209,144,178,129,52,19
Middlesex County,1213,1187,642,44,0,408,0,113,69,24,541,646,109,77,89,88,96,198,160,169,94,54,38
Middlesex County,661,639,476,24,0,100,0,40,25,14,323,316,35,26,32,49,49,71,84,106,88,54,29
Middlesex County,2284,2301,986,314,18,667,0,460,224,92,1122,1179,228,153,140,114,174,522,358,254,181,84,55
Middlesex County,1960,1888,818,290,2,502,3,272,187,86,952,936,184,111,75,79,180,489,275,241,153,72,23
Middlesex County,936,894,580,56,1,180,0,64,53,24,444,450,56,70,48,59,49,153,117,139,114,36,41
Middlesex County,1454,1426,1346,8,3,53,0,22,5,11,721,705,73,107,120,92,52,95,180,261,191,164,71
Middlesex County,1465,1413,1277,9,1,90,0,25,8,28,688,725,67,76,99,105,63,91,160,277,210,143,87
Middlesex County,1658,1473,1268,56,1,68,1,63,34,45,755,718,119,124,90,81,46,198,268,260,159,87,36
Middlesex County,1441,1401,1226,54,0,48,3,44,23,47,708,693,85,100,76,82,60,146,209,269,175,106,76
Middlesex County,783,802,700,32,7,12,0,55,13,38,379,423,43,44,60,48,47,85,116,150,73,35,50
Middlesex County,825,922,772,61,4,44,4,46,14,23,462,460,67,38,42,44,57,131,124,174,114,64,52
Middlesex County,983,955,865,2,0,71,0,12,0,17,481,474,43,80,81,78,39,60,114,192,148,59,48
Middlesex County,1317,1302,1018,92,4,73,3,94,57,55,621,681,98,66,76,76,97,225,188,205,135,89,43
Middlesex County,2062,2002,1859,27,4,71,0,38,17,24,986,1016,109,126,151,124,108,184,282,356,290,158,91
Middlesex County,2469,2480,2325,19,0,94,0,52,8,34,1171,1309,135,163,142,127,101,287,342,439,379,218,111
Middlesex County,560,560,488,7,2,48,0,5,1,14,253,307,23,21,14,6,10,83,66,63,92,67,57
Middlesex County,2017,1802,1672,39,0,70,0,42,10,11,783,1019,83,58,56,44,55,211,179,239,269,166,240
Middlesex County,1156,1197,1085,29,1,22,0,36,37,23,568,629,91,77,68,70,64,165,202,193,137,70,42
Middlesex County,718,701,674,9,0,8,0,9,7,3,342,359,52,49,48,36,23,59,111,130,98,48,36
Middlesex County,694,689,607,9,2,25,0,29,33,13,348,341,30,23,25,30,39,139,107,130,100,37,22
Middlesex County,936,965,732,72,4,37,0,74,86,34,494,471,44,36,20,34,84,252,166,139,94,50,35
Middlesex County,706,627,455,48,2,99,0,19,9,14,327,300,24,13,17,19,73,189,112,75,46,33,18
Middlesex County,1025,1006,897,25,3,50,0,27,7,24,519,487,25,13,11,19,383,298,77,65,51,31,27
Middlesex County,1224,1232,1070,36,2,80,0,44,14,30,587,645,51,43,15,37,138,440,175,133,92,44,32
Middlesex County,990,1017,876,33,1,68,0,33,7,32,490,527,48,35,24,26,93,347,165,112,81,41,34
Middlesex County,1442,1464,1309,27,0,79,1,51,13,35,683,781,52,31,28,21,142,565,195,142,126,90,48
Middlesex County,755,818,725,22,1,46,0,28,5,19,393,425,24,8,14,6,112,348,94,69,80,38,21
Middlesex County,1013,939,804,23,1,86,0,37,13,12,479,460,44,15,18,21,267,241,114,68,62,52,28
Middlesex County,1150,907,835,26,1,25,0,30,6,14,419,488,44,18,17,26,66,230,122,95,88,74,70
Middlesex County,1160,974,493,215,1,60,0,254,158,47,418,556,81,86,57,61,90,217,143,96,70,38,30
Middlesex County,1059,1007,907,30,0,36,1,50,16,17,500,507,37,16,20,22,202,343,114,79,73,45,37
Middlesex County,971,924,809,16,1,59,0,38,14,25,438,486,30,15,15,19,129,369,122,81,69,33,24
Middlesex County,847,857,704,62,1,54,0,48,12,24,408,449,30,16,7,16,118,352,103,97,67,35,10
Middlesex County,1400,1302,1121,37,0,98,1,54,9,36,615,687,51,30,15,18,111,535,218,118,122,55,22
Middlesex County,1346,1236,1031,57,0,84,0,70,24,40,605,631,37,24,8,22,145,533,182,93,107,40,31
Middlesex County,625,636,567,8,3,45,0,31,0,13,313,323,24,7,6,6,101,267,94,40,34,24,25
Middlesex County,777,691,514,24,2,129,2,33,7,13,351,340,18,5,2,8,129,355,68,29,46,15,12
Middlesex County,1913,1813,1495,36,2,203,0,89,28,49,871,942,37,16,24,16,272,894,218,128,88,67,39
Middlesex County,2692,2900,1582,287,1,859,2,228,50,119,1694,1206,109,63,41,99,849,1145,278,131,109,49,22
Middlesex County,900,965,741,69,4,108,0,40,18,25,464,501,47,36,18,25,87,319,158,87,124,49,13
Middlesex County,935,958,815,19,1,78,0,29,5,40,478,480,46,31,30,19,65,313,147,126,99,49,23
Middlesex County,1250,1226,676,299,7,126,0,123,52,66,605,621,75,46,50,47,151,365,158,123,114,54,28
Middlesex County,1611,1622,760,526,11,196,1,118,29,99,783,839,124,77,72,78,127,434,270,185,147,75,23
Middlesex County,1155,1108,769,120,5,163,3,62,11,37,542,566,44,13,12,21,125,389,118,106,144,73,46
Middlesex County,1519,1494,866,405,2,119,0,113,30,72,713,781,83,57,71,56,146,442,196,159,140,91,35
Middlesex County,1056,944,738,70,3,90,0,58,11,32,376,568,44,26,24,51,196,257,110,76,104,37,16
Middlesex County,1019,1039,881,49,2,69,0,45,19,19,476,563,46,31,19,16,99,324,120,118,88,55,54
Middlesex County,969,937,765,82,0,39,0,46,23,28,439,498,62,47,57,44,47,158,136,152,111,54,44
Middlesex County,2865,2819,2271,72,11,125,0,130,204,136,1361,1458,188,134,113,126,154,468,425,433,322,255,160
Middlesex County,2099,2027,1866,8,2,121,0,37,16,14,1016,1011,101,132,143,130,108,170,328,313,265,230,88
Middlesex County,640,668,529,23,0,74,0,34,6,36,307,361,25,23,18,12,52,242,107,61,75,33,16
Middlesex County,645,603,354,62,0,41,0,129,112,34,296,307,30,23,21,38,58,133,83,83,67,42,18
Middlesex County,1155,1172,1021,42,0,42,0,56,30,37,529,643,42,22,36,47,69,175,146,169,113,93,90
Middlesex County,1869,1732,1389,150,2,125,0,88,32,34,721,1011,52,104,143,353,230,54,119,279,196,106,74
Middlesex County,846,837,403,29,0,316,1,82,48,40,410,427,60,58,63,80,64,126,116,127,87,32,19
Middlesex County,789,958,509,206,4,154,1,101,33,51,458,500,75,47,39,66,82,223,153,111,95,33,30
Middlesex County,1604,1526,1279,29,7,151,0,45,10,50,738,788,104,128,127,92,82,203,260,254,142,80,40
Middlesex County,2772,2765,2660,3,1,79,0,29,3,19,1366,1399,176,223,229,184,118,193,404,496,360,204,126
Middlesex County,1645,1618,1565,12,4,4,1,24,7,25,812,806,79,106,116,117,69,147,220,329,264,104,50
Middlesex County,662,670,614,2,1,41,0,14,0,12,322,348,51,52,59,31,17,34,108,141,85,45,35
Middlesex County,631,591,526,14,2,11,4,42,18,16,303,288,31,34,33,45,34,77,97,104,60,27,36
Middlesex County,1295,1293,868,52,2,177,11,285,158,25,766,527,43,29,20,41,192,465,198,125,75,50,39
Middlesex County,737,722,614,26,0,55,1,21,6,20,341,381,24,11,6,6,95,309,97,71,49,22,23
Middlesex County,1295,1410,1050,17,1,277,0,59,38,27,667,743,74,88,82,90,81,152,207,241,181,95,91
Middlesex County,768,754,654,9,0,77,0,22,8,6,372,382,36,50,58,43,47,78,127,113,89,52,43
Middlesex County,859,859,492,39,0,289,0,47,22,17,412,447,62,53,55,65,56,130,130,112,105,48,29
Middlesex County,1329,1305,721,37,1,480,0,66,38,28,683,622,110,78,82,92,106,181,209,186,131,64,53
Middlesex County,855,864,481,41,0,293,0,100,26,23,436,428,71,56,50,66,74,136,121,117,98,43,22
Middlesex County,1158,1095,484,50,0,454,0,145,56,51,544,551,63,67,82,101,81,155,174,161,105,65,31
Middlesex County,1269,1260,418,80,1,556,0,235,127,78,638,622,122,96,84,102,126,211,171,152,107,62,17
Middlesex County,1874,1728,503,95,10,913,0,295,149,58,831,897,160,142,160,176,153,254,240,216,125,72,22
Middlesex County,2040,1975,1845,5,0,92,0,38,1,32,983,992,86,147,163,130,68,119,273,377,261,197,128
Middlesex County,2012,1800,1733,9,8,21,0,24,6,23,909,891,102,171,165,139,97,122,310,360,203,81,38
Middlesex County,1724,1522,1485,4,1,18,0,16,4,10,775,747,95,99,113,109,95,160,214,279,235,79,37
Middlesex County,1243,1220,1152,12,0,42,0,19,8,6,588,632,39,67,89,80,59,97,145,225,144,100,123
Middlesex County,1674,1604,1525,16,0,33,0,35,9,21,775,829,63,119,116,110,76,117,228,271,218,145,98
Middlesex County,1056,1086,988,15,2,27,1,73,35,18,461,625,41,42,44,53,51,75,133,134,162,149,144
Middlesex County,861,851,750,37,5,20,0,62,30,9,435,416,46,50,30,64,48,166,132,134,99,33,32
Middlesex County,1260,1254,1146,22,0,51,1,52,16,18,605,649,68,69,74,67,84,172,195,218,141,95,52
Middlesex County,1948,1852,1661,76,0,72,2,47,18,23,861,991,81,76,87,96,79,279,264,294,230,182,141
Middlesex County,549,592,550,7,1,9,1,16,9,15,294,298,45,37,27,32,32,102,91,91,78,33,20
